"","Common name","Type (technology)","Country of origin","First authorization","Notes"
"1","Authorized in more than 10 countries and by the WHO","Authorized in more than 10 countries and by the WHO","Authorized in more than 10 countries and by the WHO","Authorized in more than 10 countries and by the WHO","Authorized in more than 10 countries and by the WHO"
"2","Oxford–AstraZeneca","Adenovirus vector","United Kingdom,Sweden","December 2020",""
"3","Pfizer–BioNTech","RNA","Germany,United States","December 2020","Both original and Omicron variant versions"
"4","Janssen (Johnson & Johnson)","Adenovirus vector","United States,Netherlands","February 2021",""
"5","Moderna","RNA","United States","December 2020","Both original and Omicron variant versions"
"6","Sinopharm BIBP","Inactivated","China","July 2020",""
"7","Novavax","Subunit/virus-like particle","United States","December 2021","A ""recombinant nanoparticle vaccine""[121]"
"8","Covaxin","Inactivated","India","January 2021",""
"9","CoronaVac","Inactivated","China","August 2020",""
"10","Sanofi–GSK","Subunit","France,United Kingdom","November 2022","Based on Beta variant"
"11","Authorized in more than 10 countries","Authorized in more than 10 countries","Authorized in more than 10 countries","Authorized in more than 10 countries","Authorized in more than 10 countries"
"12","Sputnik V","Adenovirus vector","Russia","August 2020",""
"13","Valneva","Inactivated","France,Austria","April 2022",""
"14","Sputnik Light","Adenovirus vector","Russia","May 2021",""
"15","Kostaive","RNA","Japan,European Union","November 2023","Self-amplifying RNA vaccine"
"16","Authorized in 2–10 countries","Authorized in 2–10 countries","Authorized in 2–10 countries","Authorized in 2–10 countries","Authorized in 2–10 countries"
"17","Convidecia","Adenovirus vector","China","June 2020",""
"18","Sinopharm WIBP","Inactivated","China","February 2021","Lower efficacy"
"19","Abdala","Subunit","Cuba","July 2021",""
"20","EpiVacCorona","Subunit","Russia","October 2020",""
"21","Zifivax","Subunit","China","March 2021",""
"22","Soberana 02","Subunit","Cuba,Iran","June 2021",""
"23","CoviVac","Inactivated","Russia","February 2021",""
"24","Medigen","Subunit","Taiwan","July 2021",""
"25","QazCovid-in","Inactivated","Kazakhstan","April 2021",""
"26","Minhai","Inactivated","China","May 2021","Undergoing clinical trials"
"27","COVIran Barekat","Inactivated","Iran","June 2021",""
"28","Soberana Plus","Subunit","Cuba","August 2021",""
"29","Corbevax","Subunit","India,United States","December 2021",""
"30","Authorized in 1 country","Authorized in 1 country","Authorized in 1 country","Authorized in 1 country","Authorized in 1 country"
"31","Chinese Academy of Medical Sciences","Inactivated","China","June 2021",""
"32","ZyCoV-D","DNA","India","August 2021",""
"33","FAKHRAVAC","Inactivated","Iran","September 2021",""
"34","COVAX-19","Subunit","Australia,Iran","October 2021",""
"35","Razi Cov Pars","Subunit","Iran","October 2021",""
"36","Turkovac","Inactivated","Turkey","December 2021",""
"37","Sinopharm CNBG","Subunit","China","December 2021","Based on original, Beta, and Kappa variants"
"38","CoVLP","Virus-like particle","Canada,United Kingdom","February 2022",""
"39","Noora","Subunit","Iran","March 2022",""
"40","Skycovione","Subunit","South Korea","June 2022",""
"41","Walvax","RNA","China","September 2022","Granted emergency use approval in Indonesia in September 2022"
"42","iNCOVACC","Adenovirus vector","India","September 2022","Nasal vaccine"
"43","V-01","Subunit","China","September 2022",""
"44","Gemcovac","RNA","India","October 2022","Self-amplifying RNA vaccine"
"45","IndoVac","Subunit","Indonesia","October 2022",""
